Date,Close,High,Low,Open,Volume
2004-01-02,12.361115455627441,12.420861892258221,12.17818385773647,12.17818385773647,1845000
2004-01-05,12.794837951660156,12.794837951660156,12.613382759461194,12.701897641779803,2981700
2004-01-06,12.650259971618652,12.794834023989234,12.631820062663575,12.794834023989234,3776400
2004-01-07,12.679769515991211,12.679769515991211,12.576501939984,12.576501939984,1075500
2004-01-08,12.727715492248535,12.753532387625075,12.6192842784237,12.710012514453677,1148400
2004-01-09,12.704843521118164,12.806635917039852,12.698204748969324,12.738037381862364,1143900
2004-01-12,12.693780899047852,12.749841367217323,12.64509740805585,12.735087412862383,1753200
2004-01-13,12.621495246887207,12.731401582631072,12.580188728555932,12.720337381871502,1361700
2004-01-14,12.641410827636719,12.662065353878175,12.572812273587116,12.57723896704838,1150200
2004-01-15,12.383238792419434,12.591985931685855,12.366272761332075,12.591248993847746,1397700
2004-01-16,12.436349868774414,12.438563215107306,12.35521071945416,12.373651895651104,1698300
2004-01-20,12.797791481018066,12.808854418523993,12.662805156678264,12.687146911355377,1243800
2004-01-21,12.814752578735352,12.86048578946995,12.724025627753697,12.79557446228964,1260000
2004-01-22,12.782299995422363,12.815492605065634,12.678295472233268,12.771973996656785,1600200
2004-01-23,12.760906219482422,12.805164290553169,12.731402104985255,12.798525516581723,811800
2004-01-26,12.845735549926758,12.845735549926758,12.740254623141531,12.795576902649998,1946700
2004-01-27,12.780821800231934,12.910644454870994,12.760905479472552,12.871550017624768,2822400
2004-01-28,12.600104331970215,12.868599245245404,12.583877765375286,12.849422393815033,2428200
2004-01-29,12.401684761047363,12.575764251606119,12.193675724161778,12.549947356545001,3085200
2004-01-30,12.384716987609863,12.386930334102303,12.292513632411728,12.318330521218543,1413900
2004-02-02,12.38766860961914,12.403896442405062,12.333084541599831,12.400946157574289,1466100
2004-02-03,12.31833267211914,12.395783352063233,12.299154553224422,12.395783352063233,941400
2004-02-04,12.207685470581055,12.270383439060634,12.207685470581055,12.251943530445882,1133100
2004-02-05,12.204001426696777,12.226868035976775,12.152367637825867,12.17154575755314,1764000
2004-02-06,12.48208236694336,12.514538028125203,12.319805327250636,12.330869526977812,1868400
2004-02-09,12.662063598632812,12.72328643212123,12.539617931655977,12.613380107040857,882000
2004-02-10,12.6510009765625,12.678293010182628,12.621495596242546,12.666490604811317,665100
2004-02-11,12.847211837768555,12.863439674105182,12.653216006206566,12.690098373311224,2990700
2004-02-12,12.840571403503418,12.90621967862963,12.812541162665765,12.90621967862963,2559600
2004-02-13,12.849419593811035,12.99325544482069,12.84130441295694,12.98587973433932,1157400
